category,text,source
Unilateral Change,failure to pay these fees may result in suspension or termination of your service or subscription .,LexGLUE_UnfairToS
Unilateral Change,truecaller may terminate the terms and your use of the services at any time with thirty ( 30 ) days ' advance notice .,LexGLUE_UnfairToS
Unilateral Change,these terms will automatically terminate if you fail to comply with them .,LexGLUE_UnfairToS
Content Removal,"truecaller may change the services at any time , such as by adding or removing features or discontinuing the services .",LexGLUE_UnfairToS
Content Removal,truecaller also reserves the right to modify these terms at any time by providing revised terms to the user or by publishing the revised terms within the services .,LexGLUE_UnfairToS
Choice of Law / Jurisdiction,any continued use by you of the services following publication or notification of revised terms shall constitute your acceptance to the revised terms .,LexGLUE_UnfairToS
Arbitration,"these terms shall be governed and construed in accordance with the laws of sweden , excluding its choice of law rules .",LexGLUE_UnfairToS
Unilateral Termination,"all disputes arising out of or in connection with these terms shall be adjudicated exclusively in sweden , with the district court of stockholm as the court of first instance .",LexGLUE_UnfairToS
Content Removal,skype may need to change or withdraw the number allocated to you from time to time .,LexGLUE_UnfairToS
Exclusion of Liability,"arbitration clause and class action waiver : if you live in the usa and select pay by mobile ( see paragraph 20 ) , a binding arbitration clause and class action waiver affects your rights to resolve a dispute with skype , its corporate affiliates , or other third parties including mobile phone carriers .",LexGLUE_UnfairToS
Choice of Law / Jurisdiction,"2.1 in order to download and/or use the software , products and/or skype websites you must first accept these terms.these terms are accepted by you ( a ) when you click to accept or agree to the terms ; or ( b ) when you download and/or use the software , products and/or skype websites .",LexGLUE_UnfairToS
Content Removal,3.1 skype may make changes to these terms from time to time .,LexGLUE_UnfairToS
Choice of Law / Jurisdiction,"you understand and agree that your express acceptance of the terms or your use of the software , products and/or skype websites after the date of publication shall constitute your agreement to the updated terms .",LexGLUE_UnfairToS
Content Removal,you agree to receive such updates from skype in order to continue using the skype software and you agree to accept such updates subject to these terms .,LexGLUE_UnfairToS
Content Removal,"5.4 suspension , technical improvement and maintenance : from time to time , skype may need to perform maintenance on or upgrade the software , products or skype websites or the underlying infrastructure that enables you to use the software , products or skype websites .",LexGLUE_UnfairToS
Limitation of Liability,"you will not be entitled to claim damages for such suspension or limitation of the use of any software , product or skype website .",LexGLUE_UnfairToS
Limitation of Liability,skype will have no liability for your failed emergency call in such circumstances .,LexGLUE_UnfairToS
Contract Termination,"skype may in its sole discretion block , prevent delivery of or otherwise remove the content of communications as part of its effort to protect the software , products or its customers , or otherwise enforce these terms .",LexGLUE_UnfairToS
Contract Termination,"further , skype may in its sole discretion remove such content and/or terminate these terms and your user account if you use any content that is in breach of these terms .",LexGLUE_UnfairToS
Contract Termination,"5.8 notice and take-down if skype receives any notification that any material that you post , upload , edit , host , share and/or publish on the skype website or through the software ( excluding your private communications ) ( `` user submission '' ) is inappropriate , infringes any rights of any third party , or if skype wishes to remove your user submission for any reason whatsoever , skype reserves the right to automatically remove such user submission for any reason immediately or within such other timescales as may be decided from time to time by skype in its sole discretion .",LexGLUE_UnfairToS
Limitation of Liability,"skype takes no responsibility for any disruption , interruption or delay caused by any failure of or inadequacy in any of these items or any other items over which we have no control .",LexGLUE_UnfairToS
Content Removal,"accordingly , you acknowledge and agree that the products and functionality of the software may vary from time to time .",LexGLUE_UnfairToS
Limitation of Liability,skype takes no responsibility for your failure to comply with the obligations in this paragraph 6.1 .,LexGLUE_UnfairToS
Content Removal,skype reserves the right to revoke these exceptions at any time .,LexGLUE_UnfairToS
Content Removal,( iii ) skype may change the rates for calling phones and premium rate numbers at any time without notice to you by posting such change at www.skype.com/go/allrates .,LexGLUE_UnfairToS
Content Removal,skype may change the charges payable for the purchase of such products at any time without any notice to you .,LexGLUE_UnfairToS
Content Removal,"skype reserves the right to charge you for such products ( at the normal rate ) in the event that skype determines ( in its reasonable discretion ) that you are abusing the terms of the offer , including if you are using any service , proxy or other devices or anonymous ip address that prevents us from locating you .",LexGLUE_UnfairToS
Content Removal,skype reserves the right to remove or amend the available payment methods at its sole discretion .,LexGLUE_UnfairToS
Unilateral Change,"11.2 skype may terminate its relationship with you , or may terminate or suspend your use of the software , user account ( s ) , products or skype websites at any time and without recourse to the courts : ( a ) if you are in breach of these terms ; ( b ) if skype reasonably suspects that you are using the software , the products and/or skype websites to break the law or infringe third party rights ; ( c ) if skype reasonably suspects that you are trying to unfairly exploit or misuse the refund policy , or any of our policies ; ( d ) if skype reasonably suspects that you are using our products , software and/or skype websites fraudulently or that your user account is being used by a third party fraudulently ; ( e ) if you have purchased skype credit from an unauthorised reseller ; ( f ) in respect of a particular product , on thirty ( 30 ) days notice if skype decides to cease offering that product ; ( g ) immediately , if required due to a change in laws/regulation by a regulator or authority with a lawful mandate , or by any of skype 's partners ; ( h ) on thirty ( 30 ) days notice if skype decides to cease offering the software to users in your jurisdiction generally .",LexGLUE_UnfairToS
Unilateral Change,we reserve the right to cancel user accounts that have been inactive for more than one ( 1 ) year .,LexGLUE_UnfairToS
Limitation of Liability,"12.4 no liability : you acknowledge and agree that skype will have no liability whatsoever , whether in contract , tort ( including negligence ) or any other theory of liability , and whether or not the possibility of such damages or losses has been notified to skype , in connection with or arising from your use of skype websites , or the internet communications software or other software that is provided free of charge .",LexGLUE_UnfairToS
Limitation of Liability,"( a ) any indirect , special , incidental or consequential damages ; or",LexGLUE_UnfairToS
Limitation of Liability,"( b ) any loss of income , business , actual or anticipated profits , opportunity , goodwill or reputation ( whether direct or indirect ) ; or",LexGLUE_UnfairToS
Limitation of Liability,( c ) any damage to or corruption of data ( whether direct or indirect ) ;,LexGLUE_UnfairToS
Limitation of Liability,"( d ) any claim , damage or loss ( whether direct or indirect ) arising from or relating to :",LexGLUE_UnfairToS
Limitation of Liability,( i ) your inability to use the software to contact emergency services ;,LexGLUE_UnfairToS
Limitation of Liability,( ii ) your failure to make additional arrangements to access emergency services in accordance with paragraph 5.5 above ;,LexGLUE_UnfairToS
Limitation of Liability,( iii ) the service limitations set out in paragraph 5.6 ;,LexGLUE_UnfairToS
Limitation of Liability,( iv ) your failure to provide accurate physical location information to an emergency services operative ; or,LexGLUE_UnfairToS
Limitation of Liability,( v ) conduct of third party emergency services operatives and calling centres to which you may be connected .,LexGLUE_UnfairToS
Limitation of Liability,"( e ) any claim , damage or loss ( whether direct or indirect ) arising from or relating to :",LexGLUE_UnfairToS
Limitation of Liability,"( i ) any product or service provided by a third party under their own terms of service , including without limitation , skype wifi ;",LexGLUE_UnfairToS
Limitation of Liability,"12.6 subject to paragraphs 12.3 - 12.5 above , skype 's total liability to you under or in connection with these terms ( whether in contract , tort ( including negligence ) or any other theory of liability ) ) shall not exceed in aggregate the amount paid by you for the products in the 12 month period immediately prior to the date of the event giving rise to the relevant claim , subject to a maximum of five thousand euros in all cases .",LexGLUE_UnfairToS
Limitation of Liability,"whilst skype takes no responsibility for such products or services , if you encounter any problems with payment for or download , use of installation of such products or services , skype will use commercially reasonable endeavours to assist or resolve the problems .",LexGLUE_UnfairToS
Content Removal,the merchant has the ability to change its pricing or terminate its product availability at anytime .,LexGLUE_UnfairToS
Limitation of Liability,skype is not responsible for such third party websites or the availability of such websites and does not endorse any content or material on such third party websites .,LexGLUE_UnfairToS
Choice of Law / Jurisdiction,"if you use any such software development kit or api ( as applicable ) you agree that you have read and will comply with the applicable licensing terms , which are available on http://developer.skype.com/ .",LexGLUE_UnfairToS
Content Removal,"skype may , without prior notice , assign these terms or any rights or obligations contained in them to any third party .",LexGLUE_UnfairToS
Limitation of Liability,"18.8 you acknowledge and agree that if skype is unable to provide the software , products and/or skype websites as a result of a force majeure event , skype will not be in breach of any of its obligations towards you under these terms .",LexGLUE_UnfairToS
Arbitration,18.9 these terms other than paragraph 20.3 shall be governed by and interpreted in accordance with the laws of luxembourg and shall be subject to the jurisdiction of the courts of the district of luxembourg .,LexGLUE_UnfairToS
Content Removal,"skype reserves the right to change the terms related to skype numbers and/or skype to go numbers , including without limitation to impose or amend any residency requirements and/or require the provision of further user information for continued access to such numbers .",LexGLUE_UnfairToS
Content Removal,"if skype needs to withdraw or change the number that has been made available to you , skype will use commercially reasonable endeavours to notify you by e-mail , stating the effective date of the change and where possible , your new number .",LexGLUE_UnfairToS
Unilateral Change,the right to use the number and the cancellation of such right rest with the skype manager administrator at his/her sole discretion and not you .,LexGLUE_UnfairToS
Unilateral Change,"skype may at its option , terminate its relationship with you , or may suspend your subscription immediately if it determines you are using your subscription contrary to this fup or skype 's terms of use .",LexGLUE_UnfairToS
Content Removal,( b ) skype reserves the right to withdraw or change the subscriptions at any time .,LexGLUE_UnfairToS
Content Removal,skype reserves the right to change the fair usage policy at any time .,LexGLUE_UnfairToS
Content Removal,changes shall become effective when published on the skype website .,LexGLUE_UnfairToS
Choice of Law / Jurisdiction,your continued use of a skype premium subscription after publication on the skype website shall constitute your acceptance to be bound by the terms and conditions of the revised fair usage policy .,LexGLUE_UnfairToS
Choice of Law / Jurisdiction,your continued use of qik premium after publication on the skype website shall constitute your acceptance to be bound by the terms and conditions of the revised fair usage policy .,LexGLUE_UnfairToS
Unilateral Change,"skype may in its option , terminate its relationship with you , or suspend your account immediately if it determines you are using video messaging contrary to this fup or these terms .",LexGLUE_UnfairToS
Exclusion of Liability,"if you and a disputed party do not resolve any dispute by informal negotiation or in small claims court , any other effort to resolve the dispute will be conducted exclusively by binding arbitration governed by the united states federal arbitration act ( `` faa '' ) .",LexGLUE_UnfairToS
Choice of Law / Jurisdiction,"by clicking on the accept button and/or continuing to install the software or use the software , products and/or skype websites , you expressly consent to be bound by its terms and conditions and grant to skype the rights set forth herein .",LexGLUE_UnfairToS
Contract Termination,"blizzard entertainment does not recognize the transfer of accounts , and any unauthorized transfer of the world of warcraft software will result in the permanent deletion of the account attached to that software .",LexGLUE_UnfairToS
Unilateral Change,"you may not offer any account for sale or trade , and any such offer : ( 1 ) is a violation of this agreement ; ( 2 ) may result in suspension or termination of the account at blizzard entertainment 's sole and absolute discretion ; and ( 3 ) will not be opposable to blizzard entertainment .",LexGLUE_UnfairToS
Limitation of Liability,"unless otherwise stated herein , there are no refunds where the account is terminated prior to the end of a subscription period ; the service will be available for your use until such time that the then-current subscription period expires .",LexGLUE_UnfairToS
Content Removal,blizzard entertainment reserves the right to modify these rules of conduct at any time pursuant to article xii of the terms of use .,LexGLUE_UnfairToS
Contract Termination,"if blizzard entertainment finds such a label to be offensive or improper , it may , in its sole and absolute discretion , change the name , remove the label and corresponding chat room , and/or suspend or terminate your use of world of warcraft .",LexGLUE_UnfairToS
Contract Termination,"your written communication may be subject to review , modification , and/or deletion by blizzard entertainment without notice to you .",LexGLUE_UnfairToS
Contract Termination,"violation of any of the rules of conduct set forth above may result in actions being taken by blizzard entertainment , effective immediately or at a time determined by blizzard entertainment , which may include without limitation : temporarily suspending your access to world of warcraft , permanently terminating your access to world of warcraft ( see article xv , section 2 below ) , modify a character or an account , including without limitation , reducing or removing experience points , skills , levels , in-game currency or items ; or temporarily or permanently suspend , or terminate , your access to an account that you use to access the service .",LexGLUE_UnfairToS
Unilateral Change,"without limiting the foregoing , blizzard entertainment retains the right to decline service to any user who violates the bnet tou , the terms of use and/or the eula .",LexGLUE_UnfairToS
Limitation of Liability,"note that it is your responsibility to be aware of such notices , and you hereby acknowledge and agree that blizzard entertainment shall not be responsible for any damages which may arise from your failure to read and/or be aware of these publicly posted notices .",LexGLUE_UnfairToS
Content Removal,"blizzard entertainment may , from time to time , change or modify these terms of use .",LexGLUE_UnfairToS
Choice of Law / Jurisdiction,"if you do not object to the amended terms of use within one ( 1 ) month following the special notice , your continued use of world of warcraft will mean that you accept the amended terms of use .",LexGLUE_UnfairToS
Unilateral Change,"blizzard entertainment reserves the right to terminate this agreement as follows : if you fail to comply with any terms contained in this agreement , blizzard entertainment will provide you with a warning of your non-compliance .",LexGLUE_UnfairToS
Unilateral Change,"in case of a serious violation of this agreement , blizzard entertainment will be entitled to immediately terminate this agreement without any prior warning .",LexGLUE_UnfairToS
Limitation of Liability,"also , note that in the event that blizzard entertainment terminates this agreement for breach of these terms of use , any right to any and all payments you may have made for pre-purchased game access to world of warcraft are forfeit , and you agree and acknowledge that you are not entitled to any refund for any amounts which were pre-paid on your account prior to any termination of this agreement .",LexGLUE_UnfairToS
Content Removal,"if and as far as necessary to operate the service in accordance with the terms contained herein , in particular to keep a balanced and enjoyable gaming experience for all players blizzard entertainment reserves the right to modify or delete game data .",LexGLUE_UnfairToS
Limitation of Liability,without limiting the liability under article xvii .1 .,LexGLUE_UnfairToS
Limitation of Liability,"above , blizzard entertainment is only liable for slight negligence in case of a breach of a material contractual obligation .",LexGLUE_UnfairToS
Choice of Law / Jurisdiction,i hereby agree that my use of the world of warcraft service is an acknowledgment of my agreement to be bound by the terms and conditions of this agreement .,LexGLUE_UnfairToS
Choice of Law / Jurisdiction,"when you use our services , in addition to enjoying a world of good vibes , you also agree to the terms and they affect your rights and obligations .",LexGLUE_UnfairToS
Content Removal,"we are always working on adding additional features to our services , and because of that , and also since sometimes applicable laws change , we may revise and reissue these terms occasionally , by posting updated terms at / viber-terms-use .",LexGLUE_UnfairToS
Choice of Law / Jurisdiction,your continued use of any of our services will be deemed as your acceptance of any revisions .,LexGLUE_UnfairToS
Unilateral Change,"if we at viber believe the details are not correct , current , or complete , we have the right prevent you from accessing our services , or any of its resources and to terminate or suspend your account .",LexGLUE_UnfairToS
Content Removal,8.1.1 the rates for calling landlines and mobile phones outside of the viber community consist of a per-minute rate as set out on http://account.viber.com/ .,LexGLUE_UnfairToS
Content Removal,8.1.2 viber may change the rates for calling phones at any time without notice to you by posting such change at http://account.viber.com/ .,LexGLUE_UnfairToS
Content Removal,viber may change the prices of such products at any time without any notice to you .,LexGLUE_UnfairToS
Contract Termination,viber may remove or modify any content without notice or liability at any time in viber 's sole discretion .,LexGLUE_UnfairToS
Limitation of Liability,any use of the forums will be at your own risk and will be subject to the disclaimers and limitations on liability set out above .,LexGLUE_UnfairToS
Contract Termination,"however , because we want to protect you and other users and make sure your experience is positive , we reserve the right at all times ( but will not have an obligation ) to remove or refuse to distribute any user content on the service , to suspend or terminate users , and to block participants of viber public chats without liability to us , including where such user content , in our sole discretion , violates these terms , including these house rules , the public chat & public accounts terms & guidelines or any additional terms , or that we otherwise find objectionable .",LexGLUE_UnfairToS
Limitation of Liability,"viber will not be liable for any loss that you may incur as a result of someone else using your user account , either with or without your knowledge .",LexGLUE_UnfairToS
Unilateral Change,"if you use a username and password that viber considers insecure , viber will be entitled to require this to be changed and/or terminate your user account .",LexGLUE_UnfairToS
Unilateral Change,"where permissible under the law , viber has the right to terminate your rights under our service without notice .",LexGLUE_UnfairToS
Limitation of Liability,"the viber group disclaims all liability , whether based in contract , tort ( including negligence ) , strict liability , or otherwise , and does not accept any liability for any loss or damage ( direct , indirect , punitive , actual , consequential , incidental , special , exemplary , or otherwise ) resulting from any use of , or inability to use , the service or any other site , app or service , or the material , information , software , facilities , services , or other content on the service or any other site , app or service , regardless of the basis upon which liability is claimed and even if any member of the viber group has been advised of the possibility of such loss or damage .",LexGLUE_UnfairToS
Limitation of Liability,"if applicable law does not allow all or any part of the above limitation of liability to apply to you , the limitations will apply to you only to the extent permitted by applicable law .",LexGLUE_UnfairToS
Limitation of Liability,in no event shall our total liability to you for all damages ( other than as may be required by applicable law in cases involving personal injury ) exceed the amount of fifty dollars ( $ 50.00 ) .,LexGLUE_UnfairToS
Contract Termination,"if viber believes , in its sole discretion , that a violation of these terms has occurred , it may edit or modify any submission , posting or emails , remove the material permanently , cancel postings , warn users , suspend users and passwords , terminate accounts , or take other corrective action it deems appropriate .",LexGLUE_UnfairToS
Contract Termination,"viber reserves the right to modify or discontinue , temporarily or permanently , all or any part of this service and/or any software , facilities , and services on this service , with or without notice and/or to establish general guidelines and limitations on their use .",LexGLUE_UnfairToS
Arbitration,"to the extent permitted by law , and with the exception of section 8 ( which will be construed in accordance with the faa and new york law ) , these terms shall be governed by , construed and enforced in accordance with the laws of the state of new york , as they are applied to agreements entered into and to be performed entirely within new york .",LexGLUE_UnfairToS
Exclusion of Liability,"if you ever wish to seek any relief from us , you agree to do it only through arbitration , and you waive the ability to pursue class action .",LexGLUE_UnfairToS
Exclusion of Liability,"( a ) u.s. residents : to the fullest extent permissible by law , with the exception of disputes pertaining to viber 's intellectual property rights and certain statutory claims that , pursuant to law , are not arbitrable , any dispute of any kind between you and viber arising under these terms shall be resolved through binding arbitration pursuant to the jams streamlined arbitration rules and procedures on an individual basis with no class relief .",LexGLUE_UnfairToS
Choice of Law / Jurisdiction,"you accept these terms by creating a microsoft account or skype account , through your use of the services , or by continuing to use the services after being notified of a change to these terms .",LexGLUE_UnfairToS
Choice of Law / Jurisdiction,"by using the services or agreeing to these terms , you consent to microsoft 's collection , use and disclosure of your content and data as described in the privacy statement .",LexGLUE_UnfairToS
Unilateral Change,": if you violate these terms , we may stop providing services to you or we may close your microsoft account or skype account .",LexGLUE_UnfairToS
Contract Termination,we may also block delivery of a communication ( like email or instant message ) to or from the services in an effort to enforce these terms or we may remove or refuse to publish your content for any reason .,LexGLUE_UnfairToS
Unilateral Change,"if we reasonably suspect that your microsoft account or skype account is being used by a third party fraudulently ( for example , as a result of an account compromise ) , microsoft may suspend your account until you can reclaim ownership .",LexGLUE_UnfairToS
Contract Termination,"based on the nature of the compromise , we may be required to disable access to some or all of your content .",LexGLUE_UnfairToS
Limitation of Liability,"we strive to keep the services up and running ; however , all online services suffer occasional disruptions and outages , and microsoft is not liable for any disruption or loss you may suffer as a result .",LexGLUE_UnfairToS
Content Removal,"we may change these terms at any time , and we 'll tell you when we do .",LexGLUE_UnfairToS
Choice of Law / Jurisdiction,using the services after the changes become effective means you agree to the new terms .,LexGLUE_UnfairToS
Content Removal,"c. additionally , there may be times when we need to remove or change features or functionality of the service or stop providing a service or access to third-party apps and services altogether .",LexGLUE_UnfairToS
Content Removal,"we may change the price of the services at any time and if you have a recurring purchase , we will notify you by email at least 15 days before the price change .",LexGLUE_UnfairToS
Unilateral Termination,"you and we irrevocably consent to the exclusive jurisdiction and venue of the state or federal courts in king county , washington , for all disputes arising out of or relating to these terms or the services that are heard in court ( excluding arbitration and small claims court ) .",LexGLUE_UnfairToS
Limitation of Liability,"if you have any basis for recovering damages ( including breach of these terms ) , you agree that your exclusive remedy is to recover , from microsoft or any affiliates , resellers , distributors , third-party apps and services providers , and vendors , direct damages up to an amount equal to your services fee for the month during which the breach occurred ( or up to $ 10.00 if the services are free ) .",LexGLUE_UnfairToS
Limitation of Liability,"you ca n't recover any other damages or losses , including direct , consequential , lost profits , special , indirect , incidental , or punitive .",LexGLUE_UnfairToS
Limitation of Liability,these limitations and exclusions apply even if this remedy does n't fully compensate you for any losses or fails of its essential purpose or if we knew or should have known about the possibility of the damages .,LexGLUE_UnfairToS
Limitation of Liability,"to the maximum extent permitted by law , these limitations and exclusions apply to anything or any claims related to these terms , the services , or the software related to the services .",LexGLUE_UnfairToS
Contract Termination,"microsoft may at any time regulate , control , modify and/or eliminate the game currency and/or virtual goods as it sees fit in its sole discretion .",LexGLUE_UnfairToS
Choice of Law / Jurisdiction,"by using those features , you agree to these terms and the google maps terms available at http://www.google.com/intl/en_all/help/terms_maps.html .",LexGLUE_UnfairToS
Content Removal,skype may change its calling rates at any time without notice to you by posting such change at www.skype.com/go/allrates .,LexGLUE_UnfairToS
Unilateral Change,your program account will be cancelled if you do not log in at least once in a 180-day period .,LexGLUE_UnfairToS
Unilateral Change,"additionally , microsoft reserves the right to cancel the program account of a specific user without cause and without providing a reason .",LexGLUE_UnfairToS
Unilateral Change,"microsoft reserves the right to disqualify you ; disable your access to the program or your rewards account ; and/or withhold points , rewards and charitable contributions , if microsoft believes you are tampering with or abusing any aspect of the program or may be engaging in activities that violate these terms .",LexGLUE_UnfairToS
Limitation of Liability,microsoft is not responsible if a cortana communication management feature delays or prevents you from reviewing or sending a communication .,LexGLUE_UnfairToS
Contract Termination,"microsoft or the owners of the digital goods may , from time to time , remove digital goods from the services without notice .",LexGLUE_UnfairToS
Contract Termination,"if you have more content stored in your onedrive account than is provided to you under the terms of your free or paid subscription service for onedrive and you do not respond to notice from microsoft to fix your account by removing excess content or moving to a new subscription plan with more storage , we reserve the right to close your account and delete or disable access to your content on onedrive .",LexGLUE_UnfairToS
Exclusion of Liability,"if we ca n't , you and we agree to binding individual arbitration before the american arbitration association ( `` aaa '' ) under the federal arbitration act ( `` faa '' ) , and not to sue in court in front of a judge or jury .",LexGLUE_UnfairToS
Unilateral Change,"in appropriate circumstances , microsoft may also disable or terminate accounts of users of microsoft services who may be repeat infringers .",LexGLUE_UnfairToS
Choice of Law / Jurisdiction,"by downloading or using the application , or attempting to do any of these , you accept these terms .",LexGLUE_UnfairToS
Content Removal,microsoft reserves the right to modify our usage rules at any time .,LexGLUE_UnfairToS
Limitation of Liability,this remedy does n't fully compensate you for any losses ; or,LexGLUE_UnfairToS
Choice of Law / Jurisdiction,"by accessing or using the instagram website , the instagram service , or any applications ( including mobile applications ) made available by instagram ( together , the `` service '' ) , however accessed , you agree to be bound by these terms of use ( `` terms of use '' ) .",LexGLUE_UnfairToS
Exclusion of Liability,"arbitration notice : except if you opt-out and except for certain types of disputes described in the arbitration section below , you agree that disputes between you and instagram will be resolved by binding , individual arbitration and you waive your right to participate in a class action lawsuit or class-wide arbitration .",LexGLUE_UnfairToS
Unilateral Change,"violation of these terms of use may , in instagram 's sole discretion , result in termination of your instagram account .",LexGLUE_UnfairToS
Unilateral Change,"if you violate the letter or spirit of these terms of use , or otherwise create risk or possible legal exposure for instagram , we can stop providing all or part of the service to you .",LexGLUE_UnfairToS
Content Removal,"we reserve the right to modify or terminate the service or your access to the service for any reason , without notice , at any time , and without liability to you .",LexGLUE_UnfairToS
Contract Termination,"if we terminate your access to the service or you use the form detailed above to deactivate your account , your photos , comments , likes , friendships , and all other data will no longer be accessible through your account ( e.g. , users will not be able to navigate to your username and view your photos ) , but those materials and data may persist and appear within the service ( e.g. , if your content has been reshared by others ) .",LexGLUE_UnfairToS
Content Removal,"we reserve the right , in our sole discretion , to change these terms of use ( `` updated terms '' ) from time to time .",LexGLUE_UnfairToS
Choice of Law / Jurisdiction,"you agree that we may notify you of the updated terms by posting them on the service , and that your use of the service after the effective date of the updated terms ( or engaging in such other conduct as we may reasonably specify ) constitutes your agreement to the updated terms .",LexGLUE_UnfairToS
Content Removal,"therefore , you should review these terms of use and any updated terms before using the service .",LexGLUE_UnfairToS
Contract Termination,"we may , but have no obligation to , remove , edit , block , and/or monitor content or accounts containing content that we determine in our sole discretion violates these terms of use .",LexGLUE_UnfairToS
Limitation of Liability,you agree that instagram is not responsible or liable for the conduct of any user .,LexGLUE_UnfairToS
Limitation of Liability,you expressly acknowledge and agree that instagram is in no way responsible or liable for any such third-party services or features .,LexGLUE_UnfairToS
Contract Termination,"also , instagram reserves the right to remove any content from the service for any reason , without prior notice .",LexGLUE_UnfairToS
Limitation of Liability,"instagram will not be liable to you for any modification , suspension , or discontinuation of the services , or the loss of any content .",LexGLUE_UnfairToS
Limitation of Liability,"except as otherwise described in the service 's privacy policy , available at http://instagram.com/legal/privacy/ , as between you and instagram , any content will be non-confidential and non-proprietary and we will not be liable for any use or disclosure of content .",LexGLUE_UnfairToS
Limitation of Liability,"none of your content will be subject to any obligation of confidence on the part of instagram , and instagram will not be liable for any use or disclosure of any content you provide .",LexGLUE_UnfairToS
Limitation of Liability,"the instagram parties do not endorse content and specifically disclaim any responsibility or liability to any person or entity for any loss , damage ( whether actual , consequential , punitive or otherwise ) , injury , claim , liability or other cause of any kind or character based upon or resulting from any content .",LexGLUE_UnfairToS
Limitation of Liability,"under no circumstances will the instagram parties be liable to you for any loss or damages of any kind ( including , without limitation , for any direct , indirect , economic , exemplary , special , punitive , incidental or consequential losses or damages ) that are directly or indirectly related to : ( a ) the service ; ( b ) the instagram content ; ( c ) user content ; ( d ) your use of , inability to use , or the performance of the service ; ( e ) any action taken in connection with an investigation by the instagram parties or law enforcement authorities regarding your or any other party 's use of the service ; ( f ) any action taken in connection with copyright or other intellectual property owners ; ( g ) any errors or omissions in the service 's operation ; or ( h ) any damage to any user 's computer , mobile device , or other equipment or technology including , without limitation , damage from any security breach or from any virus , bugs , tampering , fraud , error , omission , interruption , defect , delay in operation or transmission , computer line or network failure or any other technical or other malfunction , including , without limitation , damages for lost profits , loss of goodwill , loss of data , work stoppage , accuracy of results , or computer failure or malfunction , even if foreseeable or even if the instagram parties have been advised of or should have known of the possibility of such damages , whether in an action of contract , negligence , strict liability or tort ( including , without limitation , whether caused in whole or in part by negligence , acts of god , telecommunications failure , or theft or destruction of the service ) .",LexGLUE_UnfairToS
Limitation of Liability,"in no event will the instagram parties be liable to you or anyone else for loss , damage or injury , including , without limitation , death or personal injury .",LexGLUE_UnfairToS
Limitation of Liability,"in no event will the instagram parties total liability to you for all damages , losses or causes or action exceed one hundred united states dollars ( $ 100.00 ) .",LexGLUE_UnfairToS
Limitation of Liability,"instagram is not responsible for the actions , content , information , or data of third parties , and you release us , our directors , officers , employees , and agents from any claims and damages , known and unknown , arising out of or in any way connected with any claim you have against any such third parties .",LexGLUE_UnfairToS
Exclusion of Liability,"except if you opt-out or for disputes relating to : ( 1 ) your or instagram 's intellectual property ( such as trademarks , trade dress , domain names , trade secrets , copyrights and patents ) ; ( 2 ) violations of the api terms ; or ( 3 ) violations of provisions 13 or 15 of the basic terms , above ( `` excluded disputes '' ) , you agree that all disputes between you and instagram ( whether or not such dispute involves a third party ) with regard to your relationship with instagram , including without limitation disputes related to these terms of use , your use of the service , and/or rights of privacy and/or publicity , will be resolved by binding , individual arbitration under the american arbitration association 's rules for arbitration of consumer-related disputes and you and instagram hereby expressly waive trial by jury .",LexGLUE_UnfairToS
Arbitration,"these terms of use are governed by and construed in accordance with the laws of the state of california , without giving effect to any principles of conflicts of law and will specifically not be governed by the united nations conventions on contracts for the international sale of goods , if otherwise applicable .",LexGLUE_UnfairToS
Unilateral Termination,"for any action at law or in equity relating to the arbitration provision of these terms of use , the excluded disputes or if you opt out of the agreement to arbitrate , you agree to resolve any dispute you have with instagram exclusively in a state or federal court located in santa clara , california , and to submit to the personal jurisdiction of the courts located in santa clara county for the purpose of litigating all such disputes .",LexGLUE_UnfairToS
Choice of Law / Jurisdiction,"by installing , using or accessing the rovio services or any materials included in or with the rovio services , you hereby accept the terms of this eula .",LexGLUE_UnfairToS
Choice of Law / Jurisdiction,"by installing , accessing or using the rovio services , you consent to these information collection and usage terms , including ( where applicable ) the transfer of data into a country outside of the european union and/or the european economic area or the united states of america .",LexGLUE_UnfairToS
Choice of Law / Jurisdiction,"by installing , accessing or using the rovio services you explicitly agree with the terms and conditions of rovio 's privacy policy and to any terms and conditions included therein by reference .",LexGLUE_UnfairToS
Contract Termination,"rovio may manage , regulate , control , modify or eliminate virtual goods at any time , with or without notice .",LexGLUE_UnfairToS
Limitation of Liability,rovio shall have no liability to you or any third party in the event that rovio exercises any such rights .,LexGLUE_UnfairToS
Limitation of Liability,"subject to mandatory legislation , you acknowledge that rovio is not required to provide a refund for virtual goods for any reason , and that you will not receive money or other compensation for unused virtual goods , whether your loss of license under this eula was voluntary or involuntary .",LexGLUE_UnfairToS
Limitation of Liability,"in no event will rovio , rovio 's affiliates , rovio 's licensors or channel partners be liable for special , incidental or consequential damages resulting from possession , access , use or malfunction of the rovio services , including but not limited to , damages to property , loss of goodwill , computer failure or malfunction and , to the extent permitted by law , damages for personal injuries , property damage , lost profits or punitive damages from any causes of action arising out of or related to this eula or the software , whether arising in tort ( including negligence ) , contract , strict liability or otherwise and whether or not rovio , rovio 's licensors or channel partners have been advised of the possibility of such damages .",LexGLUE_UnfairToS
